id,season,week,season_type,start_date,neutral_site,conference_game,attendance,venue_id,venue,home_team,home_conference,home_points,home_q1,home_q2,home_q3,home_q4,away_team,away_conference,away_points,away_q1,away_q2,away_q3,away_q4
400603854,2015,3,regular,2015-09-19T15:30:00.000Z,false,true,102321,3958,Tiger Stadium,LSU,SEC,45,14,10,14,7,Auburn,SEC,21,0,0,14,7
400756923,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,53580,3948,Hard Rock Stadium,Miami,ACC,36,17,3,10,3,Nebraska,Big Ten,33,0,3,7,23
400756922,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,80795,3855,Notre Dame Stadium,Notre Dame,FBS Independents,30,7,6,3,14,Georgia Tech,ACC,22,0,7,0,15
400763419,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,54351,3646,Boone Pickens Stadium,Oklahoma State,Big 12,69,17,14,10,28,UT San Antonio,Conference USA,14,0,7,0,7
400763516,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,77157,347,Camp Randall Stadium,Wisconsin,Big Ten,28,7,7,7,7,Troy,Sun Belt,3,3,0,0,0
400756929,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,45759,3907,Ross-Ade Stadium,Purdue,Big Ten,24,7,10,0,7,Virginia Tech,ACC,51,10,14,17,10
400763514,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,104095,3861,Ohio Stadium,Ohio State,Big Ten,20,3,7,10,0,Northern Illinois,Mid-American,13,7,3,0,3
400763602,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,24114,3775,Joan C. Edwards Stadium,Marshall,Conference USA,45,10,14,14,7,Norfolk State,,7,7,0,0,0
400764866,2015,3,regular,2015-09-19T15:30:00.000Z,false,true,34717,3852,Navy-Marine Corps Memorial Stadium,Navy,American Athletic,45,7,21,0,17,East Carolina,American Athletic,21,7,7,0,7
400764865,2015,3,regular,2015-09-19T15:30:00.000Z,false,false,18484,3996,Yager Stadium,Miami (OH),Mid-American,33,7,16,7,3,Cincinnati,American Athletic,37,14,10,6,7
400603855,2015,3,regular,2015-09-19T16:00:00.000Z,false,false,61574,3693,Davis Wade Stadium,Mississippi State,SEC,62,20,14,14,14,Northwestern State,,13,0,6,7,0
400603859,2015,3,regular,2015-09-19T16:00:00.000Z,false,false,31399,3973,Vanderbilt Stadium,Vanderbilt,SEC,47,3,16,21,7,Austin Peay,,7,0,7,0,0
400763509,2015,3,regular,2015-09-19T16:00:00.000Z,false,false,44823,3830,Memorial Stadium,Indiana,Big Ten,38,7,10,21,0,Western Kentucky,Conference USA,35,7,21,0,7
400787442,2015,3,regular,2015-09-19T17:00:00.000Z,false,false,11633,3791,Kibbie Dome,Idaho,,41,14,13,7,7,Wofford,,38,3,14,14,7
400757032,2015,3,regular,2015-09-19T17:00:00.000Z,false,false,59464,3765,Husky Stadium,Washington,Pac-12,31,3,14,14,0,Utah State,Mountain West,17,0,10,0,7
400763601,2015,3,regular,2015-09-19T18:00:00.000Z,false,false,16567,218,FIU Stadium,Florida International,Conference USA,39,12,14,13,0,North Carolina Central,,14,7,7,0,0
400764868,2015,3,regular,2015-09-19T18:00:00.000Z,false,false,36484,3652,Bright House Networks Stadium,UCF,American Athletic,15,7,5,3,0,Furman,,16,0,7,6,3
400603852,2015,3,regular,2015-09-19T18:00:00.000Z,false,true,92746,3917,Sanford Stadium,Georgia,SEC,52,3,21,21,7,South Carolina,SEC,20,3,10,0,7
400787441,2015,3,regular,2015-09-19T18:00:00.000Z,false,false,24872,3608,Paulson Stadium,Georgia Southern,Sun Belt,48,10,21,10,7,The Citadel,,13,0,0,7,6
400787420,2015,3,regular,2015-09-19T19:00:00.000Z,false,false,26634,3625,Centennial Bank Stadium,Arkansas State,Sun Belt,70,21,21,21,7,Missouri State,,7,0,0,7,0
400603857,2015,3,regular,2015-09-19T19:00:00.000Z,false,false,102136,3853,Neyland Stadium,Tennessee,SEC,55,10,31,14,0,Western Carolina,,10,0,3,0,7
400756925,2015,3,regular,2015-09-19T19:00:00.000Z,false,false,20118,3918,Foreman Field,Old Dominion,Conference USA,14,0,7,7,0,NC State,ACC,38,7,14,7,10
400757028,2015,3,regular,2015-09-19T19:00:00.000Z,true,false,66253,3937,Sports Authority Field at Mile High,Colorado State,Mountain West,24,14,0,3,7,Colorado,Pac-12,27,0,10,7,7
400787312,2015,3,regular,2015-09-19T19:00:00.000Z,false,false,20543,3980,Waldo Stadium,Western Michigan,Mid-American,52,10,14,14,14,Murray State,,20,0,6,0,14
400603851,2015,3,regular,2015-09-19T19:00:00.000Z,false,false,73334,3887,Donald W. Reynolds Razorback Stadium Frank Broyles Field,Arkansas,SEC,24,7,14,3,0,Texas Tech,Big 12,35,14,7,7,7
